Date,Close,US_infl,CH_infl,US_IR,SARON_close
2008-01-18,1.0993,0.497057647,-0.3,2.63,2.068633
2008-01-21,1.1102,0.497057647,-0.3,2.63,2.152004
2008-01-22,1.0968,0.497057647,-0.3,2.15,2.206304
2008-01-23,1.0918,0.497057647,-0.3,2.07,2.155319
2008-01-24,1.0866,0.497057647,-0.3,2.19,2.144979
2008-01-25,1.0978,0.497057647,-0.3,2.07,2.082836
2008-01-28,1.0896,0.497057647,-0.3,2.12,2.105723
2008-01-29,1.0939,0.497057647,-0.3,2.13,2.080633
2008-01-30,1.0842,0.497057647,-0.3,1.93,2.177264
2008-01-31,1.0807,0.497057647,-0.3,1.64,2.241335
2008-02-01,1.0887,0.290411218,0.1,1.75,2.314646
2008-02-04,1.088,0.290411218,0.1,2.15,2.438196
2008-02-05,1.0991,0.290411218,0.1,2.22,2.290798
2008-02-06,1.0971,0.290411218,0.1,2.12,2.220737
2008-02-07,1.1032,0.290411218,0.1,2.19,2.25236
2008-02-08,1.1073,0.290411218,0.1,2.24,2.288577
2008-02-11,1.1022,0.290411218,0.1,2.35,2.364958
2008-02-12,1.102,0.290411218,0.1,2.55,2.482698
2008-02-13,1.1081,0.290411218,0.1,2.5,2.46581
2008-02-14,1.0972,0.290411218,0.1,2.5,2.560958
2008-02-15,1.0933,0.290411218,0.1,2.4,2.499183
2008-02-18,1.1016,0.290411218,0.1,2.4,2.299227
2008-02-19,1.0943,0.290411218,0.1,2.37,2.169728
2008-02-20,1.0982,0.290411218,0.1,2.4,2.432722
2008-02-21,1.0902,0.290411218,0.1,2.35,2.413045
2008-02-22,1.0849,0.290411218,0.1,2.33,2.373149
2008-02-25,1.0885,0.290411218,0.1,2.34,2.322299
2008-02-26,1.076,0.290411218,0.1,2.34,2.30285
2008-02-27,1.0627,0.290411218,0.1,2.21,2.245158
2008-02-28,1.051,0.290411218,0.1,2.08,2.204576
2008-02-29,1.0422,0.290411218,0.1,2.07,2.240998
2008-03-03,1.041,0.866821293,0.3,1.99,2.164148
2008-03-04,1.0394,0.866821293,0.3,2.01,2.145622
2008-03-05,1.0359,0.866821293,0.3,1.91,2.113495
2008-03-06,1.022,0.866821293,0.3,1.73,2.081263
2008-03-07,1.0248,0.866821293,0.3,1.65,2.376762
2008-03-10,1.0189,0.866821293,0.3,1.63,2.196427
2008-03-11,1.0324,0.866821293,0.3,1.82,2.041394
2008-03-12,1.0147,0.866821293,0.3,1.68,2.010858
2008-03-13,1.0103,0.866821293,0.3,1.56,1.955849
2008-03-14,0.99785,0.866821293,0.3,1.2,1.865778
2008-03-17,0.9843,0.866821293,0.3,1.16,2.099699
2008-03-18,0.999,0.866821293,0.3,0.71,2.102939
2008-03-19,0.9965,0.866821293,0.3,0.26,2.139462
2008-03-20,1.0067,0.866821293,0.3,0.37,2.15669
